Título,Autores,Ano,Link
Visualização de Dados do Censo Escolar: Uma Análise dos Indicadores de Tecnologia,['VR Adão'],2024,https://repositorio.ufsc.br/handle/123456789/262510
Desenvolvimento de um FAQ interativo,['ÍTA Rique'],2024,https://repositorio.ufpb.br/jspui/handle/123456789/32536
Algoritmo de Fatoração de Matrizes Não-negativas para Aprendizado positivo não-supervisionado,['LSS Nunes'],NA,Sem link disponível
Uma avaliação de tendências das publicações na temática indústria 4.0 e educação,['JD Silva'],2024,http://riut.utfpr.edu.br/jspui/handle/1/34521
UNIVERSIDADE FEDERAL FLUMINENSE–UFF INSTITUTO DE COMPUTAÇÃO–IC PROGRAMA DE PÓS-GRADUAÇÃO EM COMPUTAÇÃO,"['SEA AUTÔNOMO', 'CEMB TEXTUAIS', 'MVC GUELPELI']",NA,http://nlx.di.fc.ul.pt/~guelpeli/Arquivos/Qualificacao.pdf
Vigilância e big data em saúde: a questão ética no uso de dados pessoais em publicações científicas nas Ciências da Saúde,['A Beloni'],2021,http://ridi.ibict.br/handle/123456789/1197
Gissa Chatbot: uma proposta de Agente Conversacional Inteligente RASA Open-Source para assistência no período gestacional,['KAS Gomes'],2023,https://repositorio.ufc.br/handle/riufc/75013
"Desenvolvendo aplicações de RVA para saúde: imersão, realismo e motivação","['F Nunes', 'RM Costa', 'LS Machado']",2011,http://de.ufpb.br/~labteve/publi/2011_svrps.pdf#page=82
Safe H-KaaS: uma estratégia para proteção contra violação de conhecimento em kaas no domínio da e-saúde,['LOC Aversari'],2020,https://repositorio.ufpb.br/jspui/handle/123456789/18188
Ontologias na representação do conhecimento: uma ferramenta semântica para a ciência da informação,['A Marin Neto'],2018,https://repositorio.unesp.br/items/21e5261f-cd6a-480b-aef3-06b207a451ee
Integrando realidade virtual em sistemas tutores inteligentes no domínio da saúde,['JSS Melo'],2007,https://bdtd.ucb.br:8443/jspui/handle/123456789/1515
Tecnologias da indústria 4.0 aplicadas às estratégias de marketing de empresas do comércio varejista de Manaus,['DQ Oliveira'],2022,https://tede.ufam.edu.br/handle/tede/9195
